id,username,text,keywords,date,location
1189692806811602956,cesarbusfer,"@24HorasTVN El mundo entero te está observando asesino, eres tan culpable como quienes se mancharon las manos con sangre de compatriotas, mapuches!! Nadie te quiere, Chile te repudia. #RenunciaPiñera  por favor 🙏",['#RenunciaPiñera'],2019-10-30 23:57:23,
1189686553792135170,esilvacuadra,"Habla en la marcha el cro Luis Mesina @LuisMesina1 dirigente de la @CNT_NOmasAFP y de Unidad Social @UnidadSocialCh . En el día del Paro Nacional. Chile movilizado.
#AsambleaConstituyente
#Renunciapiñera https://t.co/1sRPOdXAg5",['#RenunciaPiñera'],2019-10-30 23:32:32,Santiago Chile
1189659482357407752,ElTocs,La ministra nuevamente mintiendo #RenunciaPiñera #RenunciaCubillos https://t.co/radMF4p2LJ,['#RenunciaPiñera'],2019-10-30 21:44:58,
1189681446803386368,carlosalamirocl,"@espinozacuellar @gabrielboric @inddhh Sale de mis mi entendimiento terrestre....hoy se tiraron varias la auto PLR....la flores en la mañana....y 2 en la tarde la cubillos y nuñez....
#RenunciaPiñera 
#NuevaConstitucion https://t.co/km9UHGGMDU",['#RenunciaPiñera'],2019-10-30 23:12:14,"Viña del Mar, Chile"
1189671360471207937,igcasm,"hoy me vine a la casa caminando (Pedro de Valdivia - Sta Lucía) y en medio de toda la gente me llegó un perdigón, los carabineros están disparando a la cabeza, ni siquiera a las piernas, cuídense mucho chiques @inddhh #RenunciaPiñera #ChileViolaLosDDHH https://t.co/gbIBiKcs4l",['#RenunciaPiñera'],2019-10-30 22:32:10,Chile
1189684526005571584,RiffoMario,"#PazParaChile pero las marchas siguen. Los que marchamos vamos con las manos limpias 💪🏽🇨🇱❤️🙋🏽‍♂️
#RenunciaPiñera 
#PiñeraVerguenzaMundial",['#RenunciaPiñera'],2019-10-30 23:24:28,Concepción. Chile
1189664592475103234,fergraciromi,"@sebastianpinera #renunciapiñera pa juera, pa juera, pa juera 👋👋👋",['#RenunciaPiñera'],2019-10-30 22:05:16,
1189689739646922752,lvaroGu64703525,#renunciapiñera #piñerarenuncia #piñeradictador #deletepiñera en Plaza Italia https://t.co/UdlQ4dSLxC,['#RenunciaPiñera'],2019-10-30 23:45:11,Planeta Tierra 
1189670890092539905,LuisMSierraM,"@danieljadue @gblumel otro cómplice de este gobierno tirano 
#renunciapiñera",['#RenunciaPiñera'],2019-10-30 22:30:17,"Santiago, Chile"
1189684353829363713,alesurveyor,"#NosSiguenMatando

Yo me acuerdo del Danky Nogatonga... Megalosomanjarchafafrinilofo..,

Aaah y de que..EN CHILE, NO SE MATABA A LA GENTE!!
yo me acordaba... 
o tal vez lo soñé...

Mierda!!!... son corticurcuitos en mi cerebro ..

#RenunciaPiñera 
#paraquenuncamasenchile https://t.co/bJKXwkVRgC",['#RenunciaPiñera'],2019-10-30 23:23:47,
1189687678763257856,OliverXax,"@sebastianpinera ¿Cuando renuncias? A caso eres sordo tienes menos del 9% de aprobación y quiere seguir aferrado para seguir robando,
La gente lo grita #RenunciaPiñera",['#RenunciaPiñera'],2019-10-30 23:37:00,
1189686272224321542,CalamaChamorro,@GloriaHutt @Lucia_Fernand Con la #RenunciaPiñera tendremos Paz para Chile.,['#RenunciaPiñera'],2019-10-30 23:31:25,
